Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2012-01-05,12.7,13.25,12.5,12.6,12.7771436032,53613.0,228.0,685021.0,28836.0,53.79,0.75,-0.1
2012-01-06,12.5,12.79,12.4,12.58,12.6150759422,26665.0,148.0,336381.0,11552.0,43.32,0.39,0.08
2012-01-07,12.7,13.5,12.6,12.83,12.7759086706,28118.0,67.0,359233.0,23367.0,83.1,0.9,0.13
2012-01-09,12.95,14.7,12.6,14.42,13.881712909,347409.0,1393.0,4822632.0,106784.0,30.74,2.1,1.47
2012-01-10,15.1,15.74,14.53,15.22,15.2552144811,576088.0,1959.0,8788346.0,159440.0,27.68,1.21,0.12
2012-01-11,15.25,16.19,15.25,15.54,15.7514815622,445307.0,1487.0,7014245.0,169209.0,38.0,0.94,0.29
2012-01-12,15.6,16.0,15.1,15.14,15.4721812311,136886.0,478.0,2117925.0,54338.0,39.7,0.9,-0.46
2012-01-13,15.15,15.84,15.15,15.33,15.5084454715,156652.0,689.0,2429429.0,48140.0,30.73,0.69,0.18
2012-01-16,15.25,15.75,15.0,15.29,15.4008092492,181897.0,630.0,2801361.0,53158.0,29.22,0.75,0.04
2012-01-17,15.02,15.65,14.89,14.97,15.2134959841,119028.0,443.0,1810832.0,54799.0,46.04,0.76,-0.05
2012-01-18,15.27,15.27,14.5,14.57,14.9130985147,86109.0,374.0,1284152.0,48696.0,56.55,0.77,-0.7
2012-01-19,14.94,15.35,14.7,14.84,14.910697664,89169.0,426.0,1329572.0,42091.0,47.2,0.65,-0.1
2012-01-20,15.0,15.0,14.31,14.47,14.58144633,38774.0,150.0,565381.0,38774.0,100.0,0.69,-0.53
2012-01-23,14.89,14.89,14.02,14.11,14.2612596527,22403.0,123.0,319495.0,22403.0,100.0,0.87,-0.78
2012-01-24,14.29,14.46,13.9,14.02,14.1699328462,47354.0,194.0,671003.0,47354.0,100.0,0.56,-0.27
2012-01-25,13.9,14.59,13.8,14.28,14.3726473247,48668.0,175.0,699488.0,48668.0,100.0,0.79,0.38
2012-01-27,14.42,14.99,14.2,14.8,14.6803590936,71402.0,195.0,1048207.0,71402.0,100.0,0.79,0.38
2012-01-30,14.8,15.08,14.26,14.49,14.7831654626,113778.0,280.0,1681999.0,113778.0,100.0,0.82,-0.31
2012-01-31,14.71,14.99,14.1,14.23,14.3962720498,117008.0,453.0,1684479.0,117008.0,100.0,0.89,-0.48
2012-02-01,14.22,14.5,14.2,14.27,14.3498724786,34504.0,147.0,495128.0,34504.0,100.0,0.3,0.05
